album,artist,track_name,track_id,duration_ms,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,temp,time_signature
What's Going On,Marvin Gaye,Mercy Mercy Me (The Ecology),spotify:track:3IDc87lrpEHWFBASmgTgFV,327467,0.369,0.691,0,-6.234,1,0.0387,0.778,1.39E-05,0.327,0.382,104.371,4
What's Going On,Marvin Gaye,Right On,spotify:track:3QSESroDjgnIp5dNGiBe6N,205827,0.49,0.808,10,-6.725,1,0.0409,0.475,0,0.232,0.604,73.434,4
What's Going On,Marvin Gaye,Wholy Holy,spotify:track:4KyyKvKDgVYiwoGJOa0xVd,327560,0.497,0.511,7,-8.318,1,0.0271,0.702,0,0.262,0.591,99.5,4
What's Going On,Marvin Gaye,Inner City Blues (Make Me Wanna Holler),spotify:track:5hReWjUHqPqkHi31G7izL4,681400,0.432,0.605,4,-6.941,1,0.0306,0.673,0,0.129,0.647,109.227,4
Tapestry,Carole King,I Feel the Earth Move,spotify:track:1BWsOxeMx83OrKGCV4gxly,369600,0.482,0.721,0,-6.839,1,0.0321,0.731,0,0.189,0.557,95.263,4
Tapestry,Carole King,So Far Away,spotify:track:4HHge4zAyIw3pkrtFzmwCl,356227,0.504,0.808,11,-7.25,1,0.0584,0.408,0,0.316,0.653,123.866,4
Tapestry,Carole King,It's Too Late,spotify:track:12q3V8ShACq2PSWINMc2rC,245133,0.493,0.579,8,-7.743,1,0.0319,0.772,8.06E-05,0.0759,0.475,93.353,4
Tapestry,Carole King,Home Again,spotify:track:1381rfnkAKhUeqP0J12kk3,195693,0.287,0.72,0,-6.231,1,0.0347,0.756,3.41E-06,0.263,0.709,176.302,4
Tapestry,Carole King,Beautiful,spotify:track:4EGyc152dlYpuQZ47cRC8j,356707,0.473,0.574,11,-8.189,0,0.032,0.695,0,0.509,0.499,74.056,4
Tapestry,Carole King,Way over Yonder,spotify:track:64lav7jWJqd5P4oWm4Ova6,327467,0.369,0.691,0,-6.234,1,0.0387,0.778,1.39E-05,0.327,0.382,104.371,4
Tapestry,Carole King,You've Got a Friend,spotify:track:1qhp5owrFGeZ5Jgin28nwR,205827,0.49,0.808,10,-6.725,1,0.0409,0.475,0,0.232,0.604,73.434,4
Tapestry,Carole King,Where You Lead,spotify:track:0APt4t1Dab58sYmGQ4jgij,327560,0.497,0.511,7,-8.318,1,0.0271,0.702,0,0.262,0.591,99.5,4
